LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
48.83083333,-115.6763889,2005,0.1,MT
48.53888889,-115.9347222,2005,0.9,MT
48.84694444,-115.6622222,2005,15.4,MT
43.80888889,-118.7275,2005,0.25,OR
43.72472222,-119.6605556,2005,0.06,OR
43.77222222,-119.6597222,2005,0.1,OR
43.81166667,-119.6866667,2005,0.01,OR
43.83583333,-119.7413889,2005,0.25,OR
36.69166667,-107.3858333,2005,1,NM
38.83972222,-119.8863889,2005,0.5,CA
36.87138889,-107.2477778,2005,0.1,NM
39.64972222,-119.8666667,2005,0.1,NV
36.88388889,-107.2908333,2005,0.1,NM
36.93472222,-107.3497222,2005,30,NM
36.74194444,-107.2125,2005,0.1,NM
36.65944444,-107.1963889,2005,0.5,NM
36.64583333,-107.2269444,2005,0.5,NM
36.09666667,-106.1616667,2005,0.1,NM
48.305,-115.5416667,2005,0.1,MT
48.40805556,-115.5583333,2005,0.1,MT
48.40805556,-115.5080556,2005,0.1,MT
45.1,-109.3125,2004,0.1,MT
48.41944444,-115.6577778,2005,0.3,MT
35.76888889,-118.4352778,2005,0.1,CA
39.11666667,-119.845,2005,1,NV
35.70111111,-105.7091667,2005,0.75,NM
38.22666667,-119.3466667,2005,0.1,CA
38.60222222,-119.4297222,2005,3,NV
44.48861111,-111.2561111,2005,0.1,ID
38.16888889,-119.3169444,2005,0.1,CA
36.92277778,-107.2363889,2005,0.5,NM
34.74833333,-119.4102778,2005,3,CA
35.88361111,-121.4569444,2005,0.1,CA
36.21805556,-121.4991667,2005,0.1,CA
36.44833333,-121.5827778,2005,0.1,CA
38.29444444,-119.54,2005,0.5,CA
38.22222222,-119.3869444,2005,0.1,CA
38.3575,-119.3611111,2005,0.1,CA
36.90972222,-107.2558333,2005,0.2,NM
36.94111111,-107.32,2005,0.1,NM
37.53055556,-118.6272222,2005,0.1,CA
37.515,-118.5983333,2005,0.1,CA
48.40777778,-115.4752778,2005,0.1,MT
48.4075,-115.5586111,2005,0.1,MT
39.08555556,-119.8741667,2005,0.5,NV
42.73638889,-112.3844444,2005,0.1,ID
43.84527778,-119.3658333,2005,0.25,OR
37.94027778,-120.1216667,2005,2,CA
38.76388889,-119.8538889,2005,0.1,CA
42.83972222,-112.1766667,2005,0.1,ID
42.69138889,-112.3686111,2005,0.1,ID
42.73638889,-112.0722222,2005,0.1,ID
39.47972222,-119.8513889,2005,1,NV
33.36861111,-108.6005556,2005,0.1,NM
34.46666667,-119.8283333,2005,4.2,CA
35.13583333,-120.0025,2005,90,CA
34.855,-119.0738889,2005,0.1,CA
34.49638889,-119.8511111,2005,0.1,CA
36.2425,-121.5511111,2005,0.3,CA
36.2425,-121.5480556,2005,0.1,CA
34.47138889,-119.195,2005,1,CA
34.45166667,-110.6661111,2005,0.1,AZ
34.36361111,-110.4041667,2005,0.1,AZ
33.71611111,-111.2177778,2005,2,AZ
33.95972222,-111.3980556,2005,2,AZ
33.72333333,-111.275,2005,16100,AZ
36.89972222,-107.2944444,2005,0.1,NM
36.9,-107.3280556,2005,0.1,NM
36.91833333,-107.3527778,2005,0.1,NM
48.35194444,-115.3625,2005,0.1,MT
36.86388889,-107.265,2005,0.1,NM
48.40833333,-115.5583333,2005,0.1,MT
41.26416667,-111.7958333,2005,0.1,UT
33.62138889,-111.2030556,2005,0.1,AZ
48.05944444,-90.3375,2005,0.25,MN
36.93472222,-107.3411111,2005,0.1,NM
33.83972222,-109.115,2005,2,AZ
34.40527778,-111.0275,2005,5.5,AZ
47.7675,-91.9475,2005,0.1,MN
