OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
1,1,FS-1418826,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,1,PNF-47,BJ8K,FOUNTAIN,,,,,,2005,2453403.5,33,1300,9,Miscellaneous,2453403.5,33,1730,0.1,A,40.03694444,-121.0058333,5,USFS,CA,63,63,Plumas,b'\x00\x01\xad\x10\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@|\x01\x00\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xfe'
2,2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,13,13,AAC0,PIGEON,,,,,,2004,2453137.5,133,845,1,Lightning,2453137.5,133,1530,0.25,A,38.93305556,-120.4044444,5,USFS,CA,61,61,Placer,b'\x00\x01\xad\x10\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@|\x01\x00\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@\xfe'
3,3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,27,21,A32W,SLACK,,,,,,2004,2453156.5,152,1921,5,Debris Burning,2453156.5,152,2024,0.1,A,38.98416667,-120.7355556,13,STATE OR PRIVATE,CA,17,17,El Dorado,"b'\x00\x01\xad\x10\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@|\x01\x00\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xfe'"
4,4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,43,6,,DEER,,,,,,2004,2453184.5,180,1600,1,Lightning,2453189.5,185,1400,0.1,A,38.55916667,-119.9133333,5,USFS,CA,3,3,Alpine,b'\x00\x01\xad\x10\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\xfe'
5,5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,44,7,,STEVENOT,,,,,,2004,2453184.5,180,1600,1,Lightning,2453189.5,185,1200,0.1,A,38.55916667,-119.9330556,5,USFS,CA,3,3,Alpine,b'\x00\x01\xad\x10\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@\xfe'
6,6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,54,8,,HIDDEN,,,,,,2004,2453186.5,182,1800,1,Lightning,2453187.5,183,1600,0.1,A,38.63527778,-120.1036111,5,USFS,CA,5,5,Amador,b'\x00\x01\xad\x10\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@|\x01\x00\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xfe'
7,7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,58,9,,FORK,,,,,,2004,2453187.5,183,1800,1,Lightning,2453188.5,184,1400,0.1,A,38.68833333,-120.1533333,5,USFS,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@$o\x996\xd0\t^\xc0h\x8czN\x1bXC@|\x01\x00\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@\xfe'
8,8,FS-1418854,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,3,2,BK5X,SLATE,,,,,,2005,2453437.5,67,1300,5,Debris Burning,2453437.5,67,1600,0.8,B,40.96805556,-122.4338889,13,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@|\x01\x00\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@\xfe'
9,9,FS-1418856,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,5,3,BLPQ,SHASTA,,,,,,2005,2453444.5,74,1200,5,Debris Burning,2453444.5,74,1700,1,B,41.23361111,-122.2833333,13,STATE OR PRIVATE,CA,,,,"b'\x00\x01\xad\x10\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@|\x01\x00\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xfe'"
10,10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,61,10,,TANGLEFOOT,,,,,,2004,2453187.5,183,1800,1,Lightning,2453188.5,184,1800,0.1,A,38.54833333,-120.1491667,5,USFS,CA,5,5,Amador,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@|\x01\x00\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@\xfe'
11,11,FS-1418861,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,64,11,,FORK #2,,,,,,2004,2453188.5,184,1830,1,Lightning,2453189.5,185,1900,0.1,A,38.69166667,-120.1597222,5,USFS,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x00\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@|\x01\x00\x00\x00\x0c\xd6\x8b\xe38\n^\xc0\x18\xb1\x8f\x88\x88XC@\xfe'
12,12,FS-1418863,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,71,14,,MOKE #2,,,,,,2004,2453188.5,184,1730,1,Lightning,2453189.5,185,2000,0.1,A,38.5275,-120.1061111,5,USFS,CA,5,5,Amador,b'\x00\x01\xad\x10\x00\x00L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@|\x01\x00\x00\x00L\xcc@\x86\xca\x06^\xc0\xf0Q\xb8\x1e\x85CC@\xfe'
13,13,FS-1418865,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,91,26,,WRIGHTS,,,,,,2004,2453251.5,247,1600,9,Miscellaneous,2453251.5,247,1630,0.1,A,38.78666667,-120.1933333,5,USFS,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x00\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@|\x01\x00\x00\x00\xe8d\xc2\x92_\x0c^\xc0p@R~\xb1dC@\xfe'
14,14,FS-1418872,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,99,21,,TIGER,,,,,,2004,2453276.5,272,1200,4,Campfire,2453276.5,272,1800,6,B,38.43333333,-120.51,14,MISSING/NOT SPECIFIED,CA,5,5,Amador,b'\x00\x01\xad\x10\x00\x00p=\n\xd7\xa3 ^\xc0\xf8Npww7C@p=\n\xd7\xa3 ^\xc0\xf8Npww7C@|\x01\x00\x00\x00p=\n\xd7\xa3 ^\xc0\xf8Npww7C@\xfe'
15,15,FS-1418874,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,102,28,,BROWN,,,,,,2004,2453281.5,277,630,1,Lightning,2453281.5,277,1500,0.2,A,38.67583333,-120.2797222,5,USFS,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x00P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@|\x01\x00\x00\x00P\xb7\x06\xf8\xe6\x11^\xc0\xd0\xf2\xe0\xb4\x81VC@\xfe'
16,16,FS-1418876,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,103,22,,SOPIAGO,,,,,,2004,2453281.5,277,930,1,Lightning,2453281.5,277,1400,0.1,A,38.56416667,-120.5422222,5,USFS,CA,17,17,El Dorado,"b'\x00\x01\xad\x10\x00\x00 \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@ \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@|\x01\x00\x00\x00 \x84\xd3\xc4\xb3""^\xc0`\x92\n\x9d6HC@\xfe'"
17,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,109,23,,POWER,CA-ENF-017646,POWER,CA3850212028020041006,POWER,,2004,2453284.5,280,1415,2,Equipment Use,2453299.5,295,1000,16823,G,38.52333333,-120.2116667,5,USFS,CA,5,5,Amador,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@|\x01\x00\x00\x00dS\\\xf2\x8b\r^\xc0\xe8\xa0(\x96\xfcBC@\xfe'
18,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,111,35,BHA3,FREDS,CA-ENF-18044,FREDS,CA3878712031820041013,FREDS,,2004,2453291.5,287,1618,2,Equipment Use,2453295.5,291,1800,7700,G,38.78,-120.26,5,USFS,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x00p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@|\x01\x00\x00\x00p=\n\xd7\xa3\x10^\xc0\xa8p=\n\xd7cC@\xfe'
19,19,FS-1418884,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,115,22,,HARTLESS,,,,,,2004,2453329.5,325,2000,5,Debris Burning,2453330.5,326,1630,0.1,A,38.945,-120.4116667,13,STATE OR PRIVATE,CA,17,17,El Dorado,b'\x00\x01\xad\x10\x00\x004 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@4 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@|\x01\x00\x00\x004 )\xbfX\x1a^\xc00\\\x8f\xc2\xf5xC@\xfe'
20,20,FS-1418887,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,8,NM-LNF-008,AVPA,SPRING,,,,,,2004,2453160.5,156,1030,1,Lightning,2453160.5,156,1400,0.1,A,33.44083333,-105.7205556,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xa8I\x11\x95\x1dnZ\xc0 \xab\xff9m\xb8@@\xa8I\x11\x95\x1dnZ\xc0 \xab\xff9m\xb8@@|\x01\x00\x00\x00\xa8I\x11\x95\x1dnZ\xc0 \xab\xff9m\xb8@@\xfe'
21,21,FS-1418888,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,12,NM-LNF-012,A49Y,ANGRY,,,,,,2004,2453175.5,171,1530,1,Lightning,2453175.5,171,1940,0.1,A,33.30722222,-105.6286111,13,STATE OR PRIVATE,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\x88\xd6\x17*;hZ\xc0\x98\xc0\xc5\x0eS\xa7@@\x88\xd6\x17*;hZ\xc0\x98\xc0\xc5\x0eS\xa7@@|\x01\x00\x00\x00\x88\xd6\x17*;hZ\xc0\x98\xc0\xc5\x0eS\xa7@@\xfe'
22,22,FS-1418893,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,13,NM-LNF-013,A5DG,DARK,,,,,,2004,2453177.5,173,1440,1,Lightning,2453178.5,174,1100,0.1,A,33.44444444,-105.7680556,5,USFS,NM,27,27,Lincoln,"b""\x00\x01\xad\x10\x00\x00|\xed\x81\xd2'qZ\xc08X/\x8e\xe3\xb8@@|\xed\x81\xd2'qZ\xc08X/\x8e\xe3\xb8@@|\x01\x00\x00\x00|\xed\x81\xd2'qZ\xc08X/\x8e\xe3\xb8@@\xfe"""
23,23,FS-1418894,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,16,NM-LNF-016,AVP4,CHURCH #2,,,,,,2004,2453181.5,177,1910,1,Lightning,2453182.5,178,1300,0.1,A,33.55944444,-105.7661111,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00T\xa3\xe4\xf6\x07qZ\xc0X\xdd\x1a\xe0\x9b\xc7@@T\xa3\xe4\xf6\x07qZ\xc0X\xdd\x1a\xe0\x9b\xc7@@|\x01\x00\x00\x00T\xa3\xe4\xf6\x07qZ\xc0X\xdd\x1a\xe0\x9b\xc7@@\xfe'
24,24,FS-1418895,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,19,NM-LNF-019,AVP4,PINE CONE,,,,,,2004,2453187.5,183,1250,1,Lightning,2453188.5,184,1110,0.25,A,33.30805556,-105.5261111,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xc8\xe0\xee\xcd\xabaZ\xc0\x90\xc6U]n\xa7@@\xc8\xe0\xee\xcd\xabaZ\xc0\x90\xc6U]n\xa7@@|\x01\x00\x00\x00\xc8\xe0\xee\xcd\xabaZ\xc0\x90\xc6U]n\xa7@@\xfe'
25,25,FS-1418896,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,20,NM-LNF-020,AVP4,EAGLE,,,,,,2004,2453187.5,183,1712,1,Lightning,2453192.5,188,1450,2.5,B,33.54527778,-105.2294444,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00 \x83\xbb7\xafNZ\xc0\xf8*\x8c\xa9\xcb\xc5@@ \x83\xbb7\xafNZ\xc0\xf8*\x8c\xa9\xcb\xc5@@|\x01\x00\x00\x00 \x83\xbb7\xafNZ\xc0\xf8*\x8c\xa9\xcb\xc5@@\xfe'
26,26,FS-1418897,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,22,NM-LNF-022,AVP4,BACHELOR,,,,,,2004,2453206.5,202,1405,1,Lightning,2453206.5,202,1600,10,C,33.31583333,-105.5122222,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xcc\xcb\xb4?\xc8`Z\xc0 \xab\xff9m\xa8@@\xcc\xcb\xb4?\xc8`Z\xc0 \xab\xff9m\xa8@@|\x01\x00\x00\x00\xcc\xcb\xb4?\xc8`Z\xc0 \xab\xff9m\xa8@@\xfe'
27,27,FS-1418898,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,31,NM-LNF-031,A0SY,SONTERRA,,,,,,2004,2453082.5,78,1145,9,Miscellaneous,2453082.5,78,2030,8.2,B,33.44444444,-105.6311111,14,MISSING/NOT SPECIFIED,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe4e\xda\x1fdhZ\xc08X/\x8e\xe3\xb8@@\xe4e\xda\x1fdhZ\xc08X/\x8e\xe3\xb8@@|\x01\x00\x00\x00\xe4e\xda\x1fdhZ\xc08X/\x8e\xe3\xb8@@\xfe'
28,28,FS-1418903,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,26,NM-LNF-013,AVP4,PEPPER,,,,,,2004,2453222.5,218,945,1,Lightning,2453222.5,218,1815,0.1,A,33.36805556,-105.5072222,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\x14\xad/Tv`Z\xc0\xd8\xa7\xd0q\x1c\xaf@@\x14\xad/Tv`Z\xc0\xd8\xa7\xd0q\x1c\xaf@@|\x01\x00\x00\x00\x14\xad/Tv`Z\xc0\xd8\xa7\xd0q\x1c\xaf@@\xfe'
29,29,FS-1418904,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,33,NM-LNF-033,A0TF,120A,,,,,,2004,2453082.5,78,1655,5,Debris Burning,2453082.5,78,2130,0.25,A,33.38527778,-105.6386111,5,USFS,NM,27,27,Lincoln,"b'\x00\x01\xad\x10\x00\x00\xf8\x13""\x01\xdfhZ\xc0\xe0|D\xc8P\xb1@@\xf8\x13""\x01\xdfhZ\xc0\xe0|D\xc8P\xb1@@|\x01\x00\x00\x00\xf8\x13""\x01\xdfhZ\xc0\xe0|D\xc8P\xb1@@\xfe'"
30,30,FS-1418905,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,36,NM-LNF-036,A3B1,MUSKETBURN,,,,,,2004,2453136.5,132,1515,5,Debris Burning,2453136.5,132,1552,0.25,A,33.38277778,-105.7002778,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xc8\xcd\xe4Y\xd1lZ\xc0(^\xbf\xdc\xfe\xb0@@\xc8\xcd\xe4Y\xd1lZ\xc0(^\xbf\xdc\xfe\xb0@@|\x01\x00\x00\x00\xc8\xcd\xe4Y\xd1lZ\xc0(^\xbf\xdc\xfe\xb0@@\xfe'
31,31,FS-1418906,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,37,NM-LNF-037,A49X,OREGON,,,,,,2004,2453175.5,171,1645,1,Lightning,2453175.5,171,2020,0.1,A,33.37972222,-105.6802778,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe8R\xd0\xab\x89kZ\xc0\x80;\xda\xbc\x9a\xb0@@\xe8R\xd0\xab\x89kZ\xc0\x80;\xda\xbc\x9a\xb0@@|\x01\x00\x00\x00\xe8R\xd0\xab\x89kZ\xc0\x80;\xda\xbc\x9a\xb0@@\xfe'
32,32,FS-1418907,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,601,Deschutes National Forest,1,1-001,BJ9H,28,,,,,,2005,2453406.5,36,943,4,Campfire,2453407.5,37,1226,0.1,A,43.99555556,-121.4141667,13,STATE OR PRIVATE,OR,17,17,Deschutes,b'\x00\x01\xad\x10\x00\x00\x90\xaf\xeb\xb4\x81Z^\xc0\x90\xc6U]n\xffE@\x90\xaf\xeb\xb4\x81Z^\xc0\x90\xc6U]n\xffE@|\x01\x00\x00\x00\x90\xaf\xeb\xb4\x81Z^\xc0\x90\xc6U]n\xffE@\xfe'
33,33,FS-1418909,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,15,NM-LNF-015,AVP4,CHURCH #1,,,,,,2004,2453181.5,177,1927,1,Lightning,2453182.5,178,1749,0.1,A,33.49666667,-105.7397222,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\x90\xc1\xdd\x9bWoZ\xc0\xe8T\x00\xc6\x92\xbf@@\x90\xc1\xdd\x9bWoZ\xc0\xe8T\x00\xc6\x92\xbf@@|\x01\x00\x00\x00\x90\xc1\xdd\x9bWoZ\xc0\xe8T\x00\xc6\x92\xbf@@\xfe'
34,34,FS-1418910,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,38,NM-LNF-038,AVP4,DRY MILLS,,,,,,2004,2453247.5,243,1030,1,Lightning,2453247.5,243,1501,0.1,A,33.41777778,-105.7075,5,USFS,NM,27,27,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe0z\x14\xaeGmZ\xc0@\x0c\x07\xbey\xb5@@\xe0z\x14\xaeGmZ\xc0@\x0c\x07\xbey\xb5@@|\x01\x00\x00\x00\xe0z\x14\xaeGmZ\xc0@\x0c\x07\xbey\xb5@@\xfe'
35,35,FS-1418911,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,41,NM-LNF-041,BEY3,AGUA FRIA,,,,,,2004,2453289.5,285,1015,1,Lightning,2453289.5,285,1300,0.1,A,33.25527778,-105.6261111,5,USFS,NM,27,27,Lincoln,"b'\x00\x01\xad\x10\x00\x00,GU4\x12hZ\xc0p?:\xf1\xac\xa0@@,GU4\x12hZ\xc0p?:\xf1\xac\xa0@@|\x01\x00\x00\x00,GU4\x12hZ\xc0p?:\xf1\xac\xa0@@\xfe'"
36,36,FS-1418916,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,601,Deschutes National Forest,3,1-003,BK2W,44,,,,,,2005,2453434.5,64,1042,4,Campfire,2453434.5,64,1107,0.1,A,44.04333333,-121.3861111,5,USFS,OR,17,17,Deschutes,b'\x00\x01\xad\x10\x00\x00\x9c\x84_\x0b\xb6X^\xc0\xa8\x96Q\xf2\x8b\x05F@\x9c\x84_\x0b\xb6X^\xc0\xa8\x96Q\xf2\x8b\x05F@|\x01\x00\x00\x00\x9c\x84_\x0b\xb6X^\xc0\xa8\x96Q\xf2\x8b\x05F@\xfe'
37,37,FS-1418917,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,8,1,BK8V,TANNASSEE GAP I,,,,,,2005,2453440.5,70,1500,2,Equipment Use,2453440.5,70,1800,0.6,B,35.22833333,-82.88444444,5,USFS,NC,21,21,Buncombe,b'\x00\x01\xad\x10\x00\x00t;\xda\xbc\x9a\xb8T\xc0\xf0w\xcc\x06:\x9dA@t;\xda\xbc\x9a\xb8T\xc0\xf0w\xcc\x06:\x9dA@|\x01\x00\x00\x00t;\xda\xbc\x9a\xb8T\xc0\xf0w\xcc\x06:\x9dA@\xfe'
38,38,FS-1418918,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,2,2,BJ66,HOWARD GAP,,,,,,2005,2453397.5,27,2200,7,Arson,2453398.5,28,300,50.3,C,35.00027778,-83.35111111,5,USFS,NC,113,113,Macon,b'\x00\x01\xad\x10\x00\x00\x94\xad\xbb\x9ax\xd6T\xc0\x00\x020\x1a\t\x80A@\x94\xad\xbb\x9ax\xd6T\xc0\x00\x020\x1a\t\x80A@|\x01\x00\x00\x00\x94\xad\xbb\x9ax\xd6T\xc0\x00\x020\x1a\t\x80A@\xfe'
39,39,FS-1418919,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,3,1,BJ9U,HOT SPRINGS,,,,,,2005,2453407.5,37,1900,7,Arson,2453407.5,37,2000,0.1,A,35.93166667,-81.71666667,5,USFS,NC,27,27,Caldwell,b'\x00\x01\xad\x10\x00\x00\x1cr\xe1\xdd\xddmT\xc006{\xda@\xf7A@\x1cr\xe1\xdd\xddmT\xc006{\xda@\xf7A@|\x01\x00\x00\x00\x1cr\xe1\xdd\xddmT\xc006{\xda@\xf7A@\xfe'
40,40,FS-1418920,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,4,2,BKC8,AUSTIN CREEK,NC-NCS-050201401,Austin Creek,,,,2005,2453413.5,43,1520,5,Debris Burning,2453414.5,44,330,125,D,36.00166667,-81.59,14,MISSING/NOT SPECIFIED,NC,27,27,Caldwell,b'\x00\x01\xad\x10\x00\x00\xf4(\\\x8f\xc2eT\xc0`\x92\n\x9d6\x00B@\xf4(\\\x8f\xc2eT\xc0`\x92\n\x9d6\x00B@|\x01\x00\x00\x00\xf4(\\\x8f\xc2eT\xc0`\x92\n\x9d6\x00B@\xfe'
41,41,FS-1418921,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,29,29,BN3Z,HEADQUARTERS,,,,,,2005,2453476.5,106,1625,5,Debris Burning,2453476.5,106,2200,25,C,35.985,-81.85166667,14,MISSING/NOT SPECIFIED,NC,11,11,Avery,b'\x00\x01\xad\x10\x00\x00\x90\xaf\xeb\xb4\x81vT\xc0\xb8G\xe1z\x14\xfeA@\x90\xaf\xeb\xb4\x81vT\xc0\xb8G\xe1z\x14\xfeA@|\x01\x00\x00\x00\x90\xaf\xeb\xb4\x81vT\xc0\xb8G\xe1z\x14\xfeA@\xfe'
42,42,FS-1418922,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,44,4,BQ5X,BLUFF,,,,,,2005,2453499.5,129,1343,5,Debris Burning,2453499.5,129,1530,3,B,35.9,-81.68333333,14,MISSING/NOT SPECIFIED,NC,27,27,Caldwell,"b""\x00\x01\xad\x10\x00\x00x'\xb8\xbb\xbbkT\xc083333\xf3A@x'\xb8\xbb\xbbkT\xc083333\xf3A@|\x01\x00\x00\x00x'\xb8\xbb\xbbkT\xc083333\xf3A@\xfe"""
43,43,FS-1418923,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,811,National Forests in North Carolina,46,5,BQ54,MOUNTAIN,,,,,,2005,2453499.5,129,1900,5,Debris Burning,2453499.5,129,2330,10,C,36.035,-81.585,14,MISSING/NOT SPECIFIED,NC,27,27,Caldwell,b'\x00\x01\xad\x10\x00\x00<\n\xd7\xa3peT\xc0\x18\xaeG\xe1z\x04B@<\n\xd7\xa3peT\xc0\x18\xaeG\xe1z\x04B@|\x01\x00\x00\x00<\n\xd7\xa3peT\xc0\x18\xaeG\xe1z\x04B@\xfe'
44,44,FS-1418924,FED,FS-FIRESTAT,FS,USORDEF,Deschutes National Forest,601,Deschutes National Forest,6,1-004,BMP6,88,,,,,,2005,2453465.5,95,1205,4,Campfire,2453465.5,95,1210,0.1,A,43.95555556,-121.3522222,5,USFS,OR,17,17,Deschutes,b'\x00\x01\xad\x10\x00\x00\xc4\xf4\x10\xcf\x8aV^\xc0\x08\xdb\x03\xa5O\xfaE@\xc4\xf4\x10\xcf\x8aV^\xc0\x08\xdb\x03\xa5O\xfaE@|\x01\x00\x00\x00\xc4\xf4\x10\xcf\x8aV^\xc0\x08\xdb\x03\xa5O\xfaE@\xfe'
