OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
773,785,FS-1420567,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,77,37,B3PY,GRANITE CREEK,,,,,,2005,2453590.5,220,1930,7,Arson,2453593.5,223,1800,5,B,48.30277778,-115.5983333,13,STATE OR PRIVATE,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x008\x1d\xe1\x17K\xe6\\\xc0 \x87\x1bl\xc1&H@8\x1d\xe1\x17K\xe6\\\xc0 \x87\x1bl\xc1&H@|\x01\x00\x00\x008\x1d\xe1\x17K\xe6\\\xc0 \x87\x1bl\xc1&H@\xfe'
774,786,FS-1420568,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,78,11,BEW1,GIBRALTAR RIDGE,,,,,,2005,2453591.5,221,1610,1,Lightning,2453604.5,234,600,23,C,48.84611111,-114.8594444,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xd8\xa1@#\x01\xb7\\\xc0\xc0\x1dm^MlH@\xd8\xa1@#\x01\xb7\\\xc0\xc0\x1dm^MlH@|\x01\x00\x00\x00\xd8\xa1@#\x01\xb7\\\xc0\xc0\x1dm^MlH@\xfe'
775,787,FS-1420569,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,79,13,B3UD,SAND HILL,,,,,,2005,2453591.5,221,1155,4,Campfire,2453591.5,221,1355,0.1,A,48.95083333,-115.1936111,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe4e\xda\x1fd\xcc\\\xc0\x08&\x14\xe8\xb4yH@\xe4e\xda\x1fd\xcc\\\xc0\x08&\x14\xe8\xb4yH@|\x01\x00\x00\x00\xe4e\xda\x1fd\xcc\\\xc0\x08&\x14\xe8\xb4yH@\xfe'
776,788,FS-1420570,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,80,38,B3TV,HORNET,,,,,,2005,2453591.5,221,1857,2,Equipment Use,2453592.5,222,2100,2,B,48.33861111,-115.1272222,13,STATE OR PRIVATE,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\\\x8e\xaah$\xc8\\\xc0\x98\xc1\xdd\x9bW+H@\\\x8e\xaah$\xc8\\\xc0\x98\xc1\xdd\x9bW+H@|\x01\x00\x00\x00\\\x8e\xaah$\xc8\\\xc0\x98\xc1\xdd\x9bW+H@\xfe'
777,789,FS-1420571,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,81,18,BEW1,HOSKINS,,,,,,2005,2453592.5,222,1000,1,Lightning,2453592.5,222,2100,0.1,A,48.895,-115.615,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\x8c\xc2\xf5(\\\xe7\\\xc0\xc8\xf5(\\\x8frH@\x8c\xc2\xf5(\\\xe7\\\xc0\xc8\xf5(\\\x8frH@|\x01\x00\x00\x00\x8c\xc2\xf5(\\\xe7\\\xc0\xc8\xf5(\\\x8frH@\xfe'
778,790,FS-1420572,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,82,19,BEW1,THUNDER,,,,,,2005,2453592.5,222,1600,1,Lightning,2453594.5,224,1030,0.5,B,48.82194444,-116.0194444,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe4x\xe4\x93>\x01]\xc0\xf0v\xb4y5iH@\xe4x\xe4\x93>\x01]\xc0\xf0v\xb4y5iH@|\x01\x00\x00\x00\xe4x\xe4\x93>\x01]\xc0\xf0v\xb4y5iH@\xfe'
779,791,FS-1420573,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,83,20,BEW1,GARVER,,,,,,2005,2453592.5,222,1906,1,Lightning,2453593.5,223,1735,0.1,A,48.92527778,-115.8025,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\x8c\xc2\xf5(\\\xf3\\\xc0hh\x96\x80ovH@\x8c\xc2\xf5(\\\xf3\\\xc0hh\x96\x80ovH@|\x01\x00\x00\x00\x8c\xc2\xf5(\\\xf3\\\xc0hh\x96\x80ovH@\xfe'
780,792,FS-1420574,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,84,21,BEW1,BEETLE JUICE,,,,,,2005,2453592.5,222,1845,1,Lightning,2453593.5,223,1600,0.1,A,48.91277778,-115.8602778,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xd4\xa4\x88\xca\x0e\xf7\\\xc0\xd0\xce\xfc\xe6\xd5tH@\xd4\xa4\x88\xca\x0e\xf7\\\xc0\xd0\xce\xfc\xe6\xd5tH@|\x01\x00\x00\x00\xd4\xa4\x88\xca\x0e\xf7\\\xc0\xd0\xce\xfc\xe6\xd5tH@\xfe'
781,793,FS-1420575,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,85,22,BEW1,DOWN CREEK,,,,,,2005,2453592.5,222,1925,1,Lightning,2453593.5,223,1815,0.1,A,48.58222222,-115.9919444,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xecO\x88\x04|\xff\\\xc0\xd0\xf3\xf8A\x86JH@\xecO\x88\x04|\xff\\\xc0\xd0\xf3\xf8A\x86JH@|\x01\x00\x00\x00\xecO\x88\x04|\xff\\\xc0\xd0\xf3\xf8A\x86JH@\xfe'
782,794,FS-1420576,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,86,39,BEW1,MILLER CREEK,,,,,,2005,2453593.5,223,600,1,Lightning,2453593.5,223,2000,0.25,A,48.09555556,-115.4736111,5,USFS,MT,53,53,Lincoln,"b'\x00\x01\xad\x10\x00\x008\x1e\xf9\xa4O\xde\\\xc0X\x93""*;\x0cH@8\x1e\xf9\xa4O\xde\\\xc0X\x93""*;\x0cH@|\x01\x00\x00\x008\x1e\xf9\xa4O\xde\\\xc0X\x93""*;\x0cH@\xfe'"
